"state","month"
"wa",1
"ct",1
"fl",1
"oh",1
"ms",1
"va",1
"fl",1
"il",1
"ga",1
"ms",1
"la",1
"la",1
"la",1
"me",1
"fl",1
"ca",1
"nh",1
"nh",1
"fl",1
"dc",1
"pa",1
"fl",1
"pa",1
"dc",1
"ny",1
"il",1
"il",1
"nm",1
"la",1
"ny",1
"oh",1
"il",1
"va",1
"il",1
"ms",1
"ny",1
"ct",1
"pa",1
"ca",1
"ny",1
"ny",1
"va",1
"ca",1
"nj",1
"wi",1
"ny",1
"ms",1
"fl",1
"fl",1
"fl",1
"fl",1
"wa",1
"nj",1
"tx",1
"ms",1
"fl",1
"il",1
"ca",1
"la",1
"fl",1
"il",1
"ca",1
"ca",1
"fl",1
"il",1
"mo",1
"ca",1
"wa",1
"wa",1
"ma",1
"ny",1
"fl",1
"va",1
"fl",1
"oh",1
"in",1
"ma",1
"ny",1
"ma",1
"ny",1
"fl",1
"ct",1
"oh",1
"ga",1
"ny",1
"pa",1
"sc",1
"ga",1
"ct",1
"nj",1
"ms",1
"wa",1
"ny",1
"mo",1
"wv",1
"ny",1
"va",1
"la",1
"oh",1
"fl",1
"il",1
"dc",1
"il",1
"ms",1
"la",1
"va",1
"il",1
"il",1
"or",1
"mo",1
"sc",1
"fl",1
"la",1
"fl",1
"ga",1
"oh",1
"ms",1
"ma",1
"tx",1
"tx",1
"ma",1
"fl",1
"mi",1
"fl",1
"ma",1
"ny",1
"fl",1
"ma",1
"md",1
"ma",1
"ma",1
"la",1
"ct",1
"nj",1
"nv",1
"wa",1
"va",1
"wa",1
"nv",1
"ny",1
"ca",1
"nv",1
"nv",1
"in",1
"nj",1
"nv",1
"nj",1
"wa",1
"ca",1
"mn",1
"in",1
"il",1
"il",1
"ca",1
"ct",1
"ca",1
"ct",1
"dc",1
"la",1
"dc",1
"dc",1
"il",1
"va",1
"nj",1
"ca",1
"fl",1
"ms",1
"il",1
"fl",1
"fl",1
"va",1
"in",1
"ma",1
"il",1
"dc",1
"il",1
"il",1
"il",1
"oh",1
"nj",1
"pa",1
"il",1
"oh",1
"ma",1
"nj",1
"ma",1
"ri",1
"md",1
"pa",1
"il",1
"dc",1
"ny",1
"il",1
"la",1
"in",1
"in",1
"ma",1
"ny",1
"oh",1
"pa",1
"ct",1
"wv",1
"wv",1
"il",1
"ia",1
"pa",1
"ma",1
"ny",1
"ny",1
"ny",1
"va",1
"wa",1
"nv",1
"fl",1
"ca",1
"va",1
"nv",1
"fl",1
"in",1
"pa",1
"nj",1
"pa",1
"fl",1
"pa",1
"ct",1
"pa",1
"pa",1
"pa",1
"fl",1
"tx",1
"in",1
"wi",1
"nj",1
"in",1
"fl",1
"ca",1
"nj",1
"fl",1
"fl",1
"fl",1
"in",1
"in",1
"wv",1
"wv",1
"or",1
"il",1
"ct",1
"tx",1
"ct",1
"in",1
"nv",1
"dc",1
"nv",1
"nv",1
"va",1
"la",1
"ca",1
"fl",1
"ca",1
"ca",1
"fl",1
"dc",1
"in",1
"dc",1
"dc",1
"va",1
"il",1
"tx",1
"pa",1
"ma",1
"ma",1
"va",1
"in",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"ny",1
"fl",1
"dc",1
"fl",1
"md",1
"md",1
"fl",1
"in",1
"wv",1
"ma",1
"mi",1
"ny",1
"ma",1
"ma",1
"ny",1
"ga",1
"ny",1
"pa",1
"ny",1
"ny",1
"tx",1
"ca",1
"ma",1
"tx",1
"tx",1
"ny",1
"ny",1
"ca",1
"ca",1
"ca",1
"ca",1
"pa",2
"ny",2
"ct",2
"ky",2
"dc",2
"il",2
"nc",2
"hi",2
"ny",2
"tn",2
"va",2
"ms",2
"hi",2
"ny",2
"ga",2
"al",2
"ky",2
"ny",2
"nj",2
"la",2
"ny",2
"va",2
"nj",2
"oh",2
"va",2
"il",2
"fl",2
"oh",2
"wv",2
"pa",2
"ny",2
"fl",2
"ga",2
"la",2
"il",2
"al",2
"tn",2
"dc",2
"al",2
"ga",2
"dc",2
"ca",2
"mn",2
"wa",2
"va",2
"il",2
"la",2
"va",2
"va",2
"fl",2
"va",2
"ca",2
"ny",2
"la",2
"la",2
"fl",2
"la",2
"me",2
"la",2
"il",2
"or",2
"il",2
"la",2
"nj",2
"ca",2
"il",2
"md",2
"wa",2
"nv",2
"hi",2
"ca",2
"wv",2
"fl",2
"fl",2
"al",2
"dc",2
"il",2
"in",2
"ma",2
"il",2
"nj",2
"ia",2
"az",2
"il",2
"sc",2
"nh",2
"ca",2
"ri",2
"ma",2
"wv",2
"ga",2
"il",2
"ga",2
"ma",2
"in",2
"ga",2
"mo",2
"ma",2
"oh",2
"oh",2
"nv",2
"nv",2
"al",2
"wv",2
"fl",2
"me",2
"ks",2
"oh",2
"il",2
"fl",2
"wv",2
"wa",2
"md",2
"ma",2
"ms",2
"fl",2
"md",2
"wa",2
"nj",2
"wa",2
"ma",2
"ny",2
"in",2
"ms",2
"nj",2
"fl",2
"ma",2
"nj",2
"ms",2
"il",2
"pa",2
"wa",2
"fl",2
"fl",2
"ct",2
"dc",2
"ca",2
"va",2
"dc",2
"ma",2
"va",2
"ma",2
"ma",2
"ny",2
"ny",2
"ca",2
"la",2
"la",2
"oh",2
"oh",2
"va",2
"va",2
"tn",2
"ma",2
"fl",2
"va",2
"va",2
"ca",2
"ny",2
"wa",2
"ny",2
"al",2
"fl",2
"wv",2
"il",2
"dc",2
"il",2
"wa",2
"il",2
"fl",2
"ma",2
"pa",2
"ca",2
"il",2
"hi",2
"ct",2
"dc",2
"ca",2
"il",2
"wv",2
"ca",2
"nv",2
"md",2
"dc",2
"nc",2
"ca",2
"dc",2
"dc",2
"ma",2
"fl",2
"fl",2
"ia",2
"ia",2
"il",2
"in",2
"va",2
"fl",2
"il",2
"ia",2
"in",2
"ny",2
"ok",2
"ny",2
"ny",2
"va",2
"va",2
"ok",2
"wv",2
"ok",2
"wv",2
"wv",2
"ct",2
"ma",2
"fl",2
"fl",2
"va",2
"va",2
"va",2
"ny",2
"wv",2
"wv",2
"ca",2
"ny",2
"ca",2
"wv",2
"ca",2
"ny",2
"ny",2
"md",2
"va",2
"fl",2
"nv",2
"in",2
"ma",2
"ny",2
"wa",2
"ny",2
"in",2
"ia",2
"ct",2
"wv",2
"wv",2
"ca",2
"dc",2
"ny",2
"ny",2
"ny",2
"ny",2
"fl",2
"wv",2
"wv",2
"va",2
"wv",2
"ny",2
"ny",2
"tn",2
"va",2
"ny",2
"ga",2
"in",2
"ca",2
"in",2
"ny",2
"ca",2
"ca",2
"ca",2
"in",2
"ga",2
"ny",3
"va",3
"md",3
"va",3
"il",3
"va",3
"ky",3
"ky",3
"al",3
"dc",3
"ny",3
"al",3
"dc",3
"ny",3
"va",3
"il",3
"il",3
"il",3
"ca",3
"fl",3
"ia",3
"il",3
"in",3
"fl",3
"il",3
"in",3
"nj",3
"nj",3
"il",3
"oh",3
"ca",3
"in",3
"il",3
"il",3
"in",3
"il",3
"dc",3
"ca",3
"pa",3
"dc",3
"mi",3
"ny",3
"al",3
"mo",3
"ga",3
"il",3
"fl",3
"ma",3
"il",3
"ga",3
"il",3
"ms",3
"ca",3
"nj",3
"wa",3
"il",3
"la",3
"la",3
"wa",3
"la",3
"ca",3
"ca",3
"ga",3
"nj",3
"il",3
"ny",3
"ma",3
"ga",3
"va",3
"in",3
"ca",3
"ri",3
"in",3
"il",3
"nj",3
"ca",3
"wa",3
"va",3
"ca",3
"il",3
"nv",3
"nj",3
"la",3
"ca",3
"la",3
"fl",3
"fl",3
"ny",3
"ri",3
"mo",3
"ma",3
"fl",3
"md",3
"ca",3
"il",3
"oh",3
"la",3
"il",3
"ma",3
"mo",3
"fl",3
"ca",3
"fl",3
"fl",3
"ca",3
"pa",3
"va",3
"nh",3
"nh",3
"ky",3
"nj",3
"nj",3
"nj",3
"ny",3
"fl",3
"oh",3
"fl",3
"ny",3
"nj",3
"fl",3
"pa",3
"sc",3
"ma",3
"wi",3
"ny",3
"fl",3
"nj",3
"il",3
"in",3
"ga",3
"ga",3
"ga",3
"ga",3
"fl",3
"al",3
"va",3
"il",3
"pa",3
"md",3
"ga",3
"in",3
"ma",3
"dc",3
"il",3
"va",3
"va",3
"fl",3
"md",3
"il",3
"ca",3
"wa",3
"in",3
"in",3
"ca",3
"fl",3
"wa",3
"nj",3
"ca",3
"oh",3
"ca",3
"nv",3
"la",3
"oh",3
"dc",3
"ca",3
"ca",3
"ma",3
"ma",3
"ms",3
"va",3
"wa",3
"ms",3
"md",3
"ia",3
"ny",3
"oh",3
"oh",3
"md",3
"oh",3
"oh",3
"mo",3
"fl",3
"ma",3
"fl",3
"wa",3
"in",3
"nv",3
"pa",3
"oh",3
"va",3
"ok",3
"oh",3
"ok",3
"fl",3
"ok",3
"nj",3
