"state","potency","weight","price"
"WA",77,217,5000
"CT",51,248,4800
"FL",68,43,3500
"OH",69,123,3500
"MS",75,118,3400
"VA",73,127,3000
"FL",54,50,3000
"IL",58,140,2800
"GA",77,127,2600
"MS",49,74,2600
"LA",78,82,2600
"LA",78,81,2600
"LA",74,79,2600
"ME",81,12,2500
"FL",71,30,2500
"CA",79,107,2500
"NH",77,39,2400
"NH",73,52,2400
"FL",64,66,2100
"DC",59,61,2000
"PA",80,53,2000
"FL",49,53,2000
"PA",49,51,2000
"DC",56,60,2000
"NY",48,53,2000
"IL",71,83,2000
"IL",50,122,2000
"NM",3,87,1900
"LA",53,93,1900
"NY",78,55,1900
"OH",61,55,1900
"IL",37,53,1800
"VA",74,48,1800
"IL",37,51,1800
"MS",56,62,1800
"NY",70,48,1800
"CT",41,83,1700
"PA",40,45,1700
"CA",36,84,1700
"NY",85,61,1700
"NY",77,59,1700
"VA",50,62,1700
"CA",62,73,1600
"NJ",52,60,1600
"WI",88,50,1600
"NY",65,54,1600
"MS",86,34,1500
"FL",37,54,1500
"FL",35,54,1500
"FL",37,54,1500
"FL",37,54,1500
"WA",84,77,1500
"NJ",56,62,1500
"TX",41,94,1400
"MS",77,41,1400
"FL",53,16,1400
"IL",51,34,1400
"CA",68,84,1400
"LA",21,62,1300
"FL",60,52,1300
"IL",55,34,1200
"CA",66,56,1200
"CA",61,55,1200
"FL",19,13,1200
"IL",44,62,1200
"MO",77,38,1200
"CA",62,45,1200
"WA",79,46,1100
"WA",82,4,1100
"MA",76,26,1100
"NY",62,17,1000
"FL",68,17,1000
"VA",62,27,1000
"FL",66,23,1000
"OH",73,16,1000
"IN",72,26,1000
"MA",44,28,950
"NY",78,27,950
"MA",77,21,900
"NY",80,28,900
"FL",47,32,900
"CT",63,21,900
"OH",43,28,880
"GA",62,23,850
"NY",75,27,850
"PA",60,29,850
"SC",93,24,850
"GA",79,23,850
"CT",47,27,850
"NJ",51,24,840
"MS",79,11,810
"WA",73,27,800
"NY",67,26,800
"MO",79,25,800
"WV",74,7,800
"NY",63,27,800
"VA",36,27,800
"LA",40,21,800
"OH",68,20,800
"FL",67,13,800
"IL",58,13,800
"DC",84,13,800
"IL",86,26,800
"MS",75,16,800
"LA",39,18,800
"VA",60,21,800
"IL",48,20,800
"IL",66,26,800
"OR",52,39,780
"MO",77,24,760
"SC",85,23,750
"FL",33,27,750
"LA",57,27,750
"FL",80,9,750
"GA",61,29,750
"OH",38,23,720
"MS",75,12,700
"MA",83,7,700
"TX",74,26,700
"TX",88,13,700
"MA",85,9,700
"FL",48,23,700
"MI",62,21,700
"FL",70,15,700
"MA",83,10,700
"NY",76,49,700
"FL",64,28,700
"MA",71,10,700
"MD",43,13,650
"MA",76,8,650
"MA",84,1,650
"LA",81,14,630
"CT",64,14,630
"NJ",43,26,620
"NV",70,23,600
"WA",68,21,600
"VA",52,8,600
"WA",68,21,600
"NV",66,19,600
"NY",49,11,600
"CA",63,29,600
"NV",79,24,600
"NV",72,27,600
"IN",46,12,600
"NJ",53,9,600
"NV",80,23,600
"NJ",66,8,600
"WA",78,21,580
"CA",79,23,580
"MN",84,7,550
"IN",56,13,550
"IL",81,10,550
"IL",74,10,550
"CA",68,21,550
"CT",84,12,540
"CA",85,24,530
"CT",81,12,500
"DC",85,10,500
"LA",62,23,500
"DC",79,11,500
"DC",67,11,500
"IL",93,7,500
"VA",66,6,500
"NJ",63,3,500
"CA",71,26,500
"FL",77,4,500
"MS",53,15,500
"IL",86,8,500
"FL",76,12,500
"FL",73,12,500
"VA",59,7,500
"IN",80,12,500
"MA",91,14,450
"IL",61,6,450
"DC",89,8,420
"IL",46,11,400
"IL",78,4,400
"IL",67,12,400
"OH",71,12,400
"NJ",53,12,400
"PA",57,44,400
"IL",77,12,400
"OH",77,10,400
"MA",44,7,400
"NJ",76,13,400
"MA",70,7,380
"RI",50,11,380
"MD",20,5,350
"PA",79,2,350
"IL",67,11,350
"DC",89,6,340
"NY",67,5,340
"IL",45,8,340
"LA",76,8,310
"IN",37,10,300
"IN",55,7,300
"MA",69,3,300
"NY",66,9,300
"OH",76,4,300
"PA",91,3,300
"CT",76,4,300
"WV",47,2,300
"WV",85,4,300
"IL",93,3,300
"IA",72,2,300
"PA",71,3,290
"MA",78,1,280
"NY",67,7,280
"NY",86,5,280
"NY",72,5,280
"VA",57,4,280
"WA",82,10,280
"NV",58,12,280
"FL",79,3,260
"CA",58,12,250
"VA",94,6,250
"NV",69,7,250
"FL",73,3,250
"IN",84,3,250
"PA",78,7,250
"NJ",71,7,250
"PA",92,6,250
"FL",61,4,240
"PA",68,3,210
"CT",83,2,200
"PA",85,3,200
"PA",71,2,200
"PA",74,2,200
"FL",36,8,200
"TX",51,10,200
"IN",51,7,200
"WI",87,3,200
"NJ",60,2,200
"IN",73,3,200
"FL",76,5,200
"CA",65,5,200
"NJ",76,4,200
"FL",44,7,200
"FL",90,2,200
"FL",50,10,200
"IN",78,3,200
"IN",88,3,200
"WV",82,3,200
"WV",53,2,200
"OR",76,6,180
"IL",80,7,180
"CT",83,3,160
"TX",89,1,160
"CT",56,2,160
"IN",54,5,160
"NV",62,6,160
"DC",84,2,160
"NV",86,13,150
"NV",76,6,150
"VA",62,2,150
"LA",81,4,150
"CA",50,5,150
"FL",80,1,150
"CA",76,3,150
"CA",73,4,140
"FL",88,2,140
"DC",82,1,140
"IN",54,1,130
"DC",81,3,130
"DC",82,1,130
"VA",58,1,120
"IL",59,2,110
"TX",67,1,100
"PA",74,1,100
"MA",77,1,100
"MA",66,1,100
"VA",92,3,100
"IN",73,1,100
"NY",90,2,100
"NY",83,2,100
"NY",82,2,100
"NY",80,2,100
"NY",93,1,100
"NY",71,2,100
"NY",81,1,100
"NY",87,1,100
"NY",76,1,100
"NY",89,1,100
"NY",86,1,100
"FL",79,3,100
"DC",79,2,100
"FL",80,2,100
"MD",93,1,100
"MD",91,1,100
"FL",91,2,100
"IN",89,1,100
"WV",51,1,100
"MA",87,1,100
"MI",65,2,100
"NY",82,1,90
"MA",44,2,80
"MA",88,1,80
"NY",87,1,80
"GA",83,1,70
"NY",71,1,60
"PA",75,1,60
"NY",66,1,60
"NY",76,1,60
"TX",90,1,60
"CA",72,2,60
"MA",77,1,50
"TX",82,1,50
"TX",89,1,50
"NY",79,1,40
"NY",77,1,40
"CA",52,1,40
"CA",83,1,40
"CA",78,1,40
"CA",57,1,40
"PA",67,41,6900
"NY",74,48,5500
"CT",37,248,4800
"KY",74,74,4000
"DC",55,125,3500
"IL",60,122,3400
"NC",59,124,3400
"HI",73,78,3300
"NY",38,95,3200
"TN",6,139,3000
"VA",51,65,2800
"MS",53,89,2800
"HI",77,65,2700
"NY",77,95,2700
"GA",54,111,2600
"AL",57,125,2600
"KY",69,82,2600
"NY",37,61,2400
"NJ",44,97,2400
"LA",71,124,2200
"NY",33,6,2200
"VA",55,61,2100
"NJ",33,100,2000
"OH",44,75,2000
"VA",71,36,2000
"IL",67,55,2000
"FL",56,46,2000
"OH",62,55,2000
"WV",74,29,2000
"PA",57,49,1800
"NY",72,61,1700
"FL",57,56,1700
"GA",34,51,1600
"LA",68,50,1600
"IL",51,86,1600
"AL",55,64,1600
"TN",72,55,1500
"DC",48,40,1500
"AL",81,48,1500
"GA",55,50,1500
"DC",52,30,1500
"CA",53,72,1500
"MN",40,62,1500
"WA",69,43,1400
"VA",57,28,1400
"IL",82,62,1400
"LA",76,52,1400
"VA",74,21,1400
"VA",73,17,1400
"FL",81,25,1400
"VA",59,28,1400
"CA",81,85,1400
"NY",58,46,1400
"LA",65,54,1400
"LA",56,61,1300
"FL",49,52,1300
"LA",57,59,1300
"ME",68,32,1300
"LA",74,62,1300
"IL",51,38,1300
"OR",83,54,1200
"IL",35,64,1200
"LA",60,56,1200
"NJ",58,17,1200
"CA",66,53,1200
"IL",61,56,1200
"MD",81,27,1200
"WA",69,54,1200
"NV",70,46,1200
"HI",73,26,1100
"CA",90,47,1100
"WV",76,19,1000
"FL",89,16,1000
"FL",89,16,1000
"AL",83,20,1000
"DC",69,28,1000
"IL",74,41,1000
"IN",65,27,1000
"MA",43,26,950
"IL",82,15,950
"NJ",55,13,950
"IA",28,23,900
"AZ",75,55,900
"IL",45,27,900
"SC",91,23,850
"NH",54,30,850
"CA",55,47,800
"RI",53,16,800
"MA",35,13,800
"WV",87,13,800
"GA",77,24,800
"IL",70,27,800
"GA",73,24,800
"MA",61,21,800
"IN",42,25,800
"GA",66,32,800
"MO",58,25,800
"MA",65,26,760
"OH",65,22,750
"OH",61,23,750
"NV",56,41,750
"NV",53,41,750
"AL",54,16,750
"WV",73,14,700
"FL",88,11,700
"ME",85,7,700
"KS",83,23,700
"OH",66,18,700
"IL",43,27,700
"FL",83,6,700
"WV",68,7,700
"WA",58,27,650
"MD",30,14,650
"MA",89,8,650
"MS",66,10,650
"FL",56,26,650
"MD",59,13,650
"WA",83,23,600
"NJ",68,10,600
"WA",66,23,600
"MA",76,6,600
"NY",94,18,600
"IN",73,14,600
"MS",81,16,600
"NJ",62,7,600
"FL",63,14,600
"MA",28,10,600
"NJ",48,1,600
"MS",42,12,600
"IL",66,5,550
"PA",88,6,550
"WA",78,21,550
"FL",83,21,500
"FL",82,16,500
"CT",41,9,500
"DC",79,13,500
"CA",69,9,500
"VA",82,8,500
"DC",83,9,500
"MA",81,6,480
"VA",71,13,480
"MA",91,14,450
"MA",58,13,450
"NY",66,11,450
"NY",61,14,450
"CA",59,18,450
"LA",34,18,450
"LA",35,13,450
"OH",68,10,450
"OH",56,15,450
"VA",62,14,430
"VA",52,14,430
"TN",80,10,420
"MA",60,6,400
"FL",72,12,400
"VA",67,5,400
"VA",90,2,400
"CA",78,9,400
"NY",73,5,400
"WA",54,28,400
"NY",68,14,400
"AL",56,14,400
"FL",87,9,400
"WV",51,5,380
"IL",77,12,380
"DC",89,7,350
"IL",77,12,350
"WA",54,14,350
"IL",79,10,350
"FL",84,7,330
"MA",72,4,320
"PA",68,1,300
"CA",70,7,300
"IL",46,6,300
"HI",83,2,300
"CT",37,8,300
"DC",74,4,300
"CA",65,10,300
"IL",85,7,300
"WV",26,12,300
"CA",63,11,300
"NV",86,12,300
"MD",76,5,300
"DC",85,3,300
"NC",86,5,300
"CA",62,5,300
"DC",79,3,300
"DC",82,7,300
"MA",82,3,290
"FL",69,4,260
"FL",62,6,260
"IA",74,2,250
"IA",74,1,250
"IL",84,5,250
"IN",59,6,250
"VA",57,2,250
"FL",64,1,250
"IL",76,5,250
"IA",56,26,250
"IN",63,5,250
"NY",50,2,240
"OK",67,3,240
"NY",84,6,230
"NY",63,6,230
"VA",70,1,230
"VA",49,5,230
"OK",65,4,230
"WV",68,3,230
"OK",68,6,230
"WV",91,1,200
"WV",88,1,200
"CT",50,6,200
"MA",83,2,200
"FL",79,3,200
"FL",75,2,200
"VA",75,2,200
"VA",76,1,200
"VA",65,1,200
"NY",96,3,200
"WV",86,1,180
"WV",80,3,180
"CA",70,3,160
"NY",79,1,160
"CA",65,14,150
"WV",92,1,150
"CA",70,6,150
"NY",80,3,150
"NY",75,3,150
"MD",87,3,150
"VA",28,2,140
"FL",81,2,130
"NV",76,3,130
"IN",46,1,120
"MA",56,1,120
"NY",61,3,120
"WA",70,7,120
"NY",76,3,120
"IN",67,2,100
"IA",84,1,100
"CT",54,2,100
"WV",43,1,100
"WV",87,2,100
"CA",78,1,100
"DC",82,1,100
"NY",93,1,100
"NY",91,1,100
"NY",80,1,100
"NY",95,1,100
"FL",73,1,100
"WV",71,1,100
"WV",64,3,100
"VA",64,1,100
"WV",75,1,100
"NY",83,1,80
"NY",84,1,80
"TN",88,3,76
"VA",30,1,75
"NY",86,1,60
"GA",74,1,60
"IN",80,1,50
"CA",77,1,50
"IN",81,1,50
"NY",79,1,50
"CA",84,1,40
"CA",74,1,40
"CA",69,1,40
"IN",85,1,40
"GA",80,1,40
"NY",69,177,5400
"VA",40,123,4000
"MD",30,125,3800
"VA",73,41,3800
"IL",47,58,3700
"VA",63,95,3600
"KY",63,112,3200
"KY",67,117,3100
"AL",48,126,3000
"DC",77,58,2900
"NY",73,112,2900
"AL",71,124,2800
"DC",71,61,2800
"NY",51,97,2800
"VA",57,31,2700
"IL",54,117,2600
"IL",44,124,2600
"IL",42,124,2500
"CA",69,107,2400
"FL",84,68,2400
"IA",69,54,2200
"IL",58,72,2000
"IN",37,51,2000
"FL",64,60,2000
"IL",72,52,2000
"IN",45,28,2000
"NJ",59,84,2000
"NJ",34,99,2000
"IL",67,37,2000
"OH",39,54,2000
"CA",61,82,1900
"IN",74,61,1800
"IL",54,63,1800
"IL",52,53,1800
"IN",84,61,1800
"IL",55,90,1800
"DC",55,61,1800
"CA",65,106,1800
"PA",74,85,1800
"DC",78,62,1800
"MI",30,42,1800
"NY",71,60,1700
"AL",56,62,1700
"MO",65,54,1700
"GA",73,47,1600
"IL",51,51,1600
"FL",37,52,1600
"MA",79,49,1600
"IL",82,27,1600
"GA",49,37,1600
"IL",46,55,1500
"MS",63,55,1500
"CA",76,27,1500
"NJ",56,13,1500
"WA",70,50,1500
"IL",83,44,1500
"LA",42,44,1500
"LA",41,40,1400
"WA",68,64,1400
"LA",71,41,1400
"CA",42,83,1400
"CA",63,63,1400
"GA",53,61,1300
"NJ",24,39,1300
"IL",47,53,1300
"NY",70,46,1300
"MA",44,47,1300
"GA",54,46,1200
"VA",73,14,1200
"IN",69,54,1200
"CA",75,52,1200
"RI",59,28,1200
"IN",45,27,1200
"IL",44,21,1200
"NJ",32,25,1200
"CA",55,46,1200
"WA",78,39,1200
"VA",66,11,1200
"CA",72,36,1100
"IL",45,45,1100
"NV",74,55,1100
"NJ",59,10,1100
"LA",46,50,1100
"CA",75,56,1100
"LA",55,50,1000
"FL",56,34,1000
"FL",49,21,1000
"NY",90,25,1000
"RI",52,28,1000
"MO",89,10,1000
"MA",85,27,1000
"FL",78,14,1000
"MD",53,27,1000
"CA",70,38,1000
"IL",85,20,1000
"OH",79,22,1000
"LA",95,24,1000
"IL",54,18,950
"MA",47,27,900
"MO",58,27,900
"FL",83,5,900
"CA",69,51,900
"FL",85,9,900
"FL",81,11,900
"CA",58,36,880
"PA",72,27,850
"VA",76,24,850
"NH",54,27,850
"NH",55,25,850
"KY",52,27,850
"NJ",20,21,840
"NJ",66,22,830
"NJ",54,24,810
"NY",70,27,800
"FL",83,34,800
"OH",73,25,800
"FL",58,28,800
"NY",66,27,800
"NJ",46,12,800
"FL",76,23,800
"PA",60,24,800
"SC",89,23,800
"MA",64,26,800
"WI",48,23,800
"NY",75,27,800
"FL",72,18,800
"NJ",57,17,800
"IL",67,27,800
"IN",56,25,800
"GA",57,29,760
"GA",69,24,750
"GA",61,24,750
"GA",66,25,750
"FL",91,10,700
"AL",69,11,700
"VA",84,2,700
"IL",89,10,700
"PA",66,22,700
"MD",73,13,700
"GA",70,11,700
"IN",87,28,700
"MA",72,10,700
"DC",79,16,690
"IL",50,28,680
"VA",58,17,680
"VA",36,18,680
"FL",61,6,650
"MD",58,13,650
"IL",49,27,650
"CA",60,13,600
"WA",64,27,600
"IN",72,4,600
"IN",81,18,600
"CA",61,26,600
"FL",85,6,600
"WA",60,27,600
"NJ",24,20,600
"CA",72,17,600
"OH",59,12,590
"CA",62,26,560
"NV",67,27,550
"LA",48,17,550
"OH",61,11,550
"DC",56,7,550
"CA",72,23,550
"CA",78,18,530
"MA",75,16,520
"MA",80,13,500
"MS",59,5,500
"VA",45,5,500
"WA",70,23,500
"MS",75,14,500
"MD",86,7,500
"IA",72,6,500
"NY",61,5,500
"OH",69,13,500
"OH",70,10,500
"MD",67,7,500
"OH",69,10,500
"OH",55,12,500
"MO",85,13,500
"FL",84,12,500
"MA",65,15,500
"FL",51,8,500
"WA",74,5,500
"IN",49,6,500
"NV",46,22,500
"PA",80,14,450
"OH",47,13,450
"VA",61,12,450
"OK",68,14,450
"OH",66,13,450
"OK",65,12,450
"FL",64,8,450
"OK",55,12,450
"NJ",19,7,450
"VA",86,2,450
"VA",36,14,430
"WV",54,5,420
"WV",57,4,420
"VA",56,14,410
"TN",70,8,400
"FL",86,4,400
"TN",67,13,400
"NJ",56,11,400
"IL",84,8,400
"FL",80,4,400
"IL",81,6,400
"FL",61,9,400
"WV",64,1,400
"MD",73,11,400
"IN",74,13,400
"IN",55,13,380
"MA",60,9,360
"VA",62,4,360
"FL",43,24,350
"FL",43,22,350
"FL",44,21,350
"FL",42,21,350
"FL",41,22,350
"FL",44,20,350
"FL",40,22,350
"FL",37,19,350
"FL",31,19,350
"FL",29,19,350
"NJ",32,14,350
"IL",39,12,350
"IL",47,15,350
"NJ",61,2,340
"WI",88,5,310
"WA",78,11,300
"NV",47,13,300
"CT",71,12,300
"MD",75,5,300
"VA",62,7,300
"IL",47,22,300
"DC",77,7,300
"FL",80,10,300
"NJ",55,9,300
"IA",75,2,300
"IL",50,12,300
"AL",47,4,300
"IA",64,5,300
"NY",70,5,280
"NV",78,13,280
"CA",62,9,280
"ME",85,2,270
"IN",82,6,250
"NJ",49,10,250
"VA",59,6,250
"IL",69,6,250
"GA",75,6,250
"IA",67,2,250
"CT",77,5,250
"WI",89,4,250
"PA",72,5,240
"VA",58,6,240
"FL",78,13,240
"PA",74,3,230
"TX",54,4,230
"SC",87,6,230
"OK",67,5,230
"OK",57,7,230
"MO",76,2,220
"IL",42,8,220
"GA",54,3,210
"FL",84,4,200
"MA",67,3,200
"MA",73,5,200
"IN",52,6,200
"MO",89,2,200
"WV",74,1,200
"FL",81,1,200
"OH",73,6,200
"DE",59,7,200
"MS",71,2,200
"MS",69,2,200
"MS",71,2,200
"AL",49,2,200
"WI",81,2,200
"FL",78,2,200
"WV",74,1,200
"IA",85,3,200
"WV",51,2,200
"CA",64,10,200
"TX",85,2,200
"MA",88,2,200
"IN",50,6,200
"WA",75,4,200
"WA",73,3,200
"WA",84,2,200
"VA",78,6,200
"WV",79,6,200
"IN",67,6,200
"IL",65,6,200
"MA",78,2,180
"OH",68,3,160
"VA",54,1,160
"DC",84,2,160
"MO",66,2,150
"VA",91,1,150
"VA",86,1,150
"NY",76,3,150
"DC",84,1,150
"DC",66,1,150
"NV",74,3,130
"VA",62,1,120
"VA",73,1,120
"TX",89,1,100
"TX",83,1,100
"TX",71,1,100
"TX",55,1,100
"MA",55,1,100
"VA",54,1,100
"WV",76,1,100
"NY",91,2,100
"IL",53,2,100
"PA",73,1,100
"WV",75,1,100
"FL",66,1,100
"PA",66,1,100
"TX",72,1,100
"TX",84,1,100
"VA",69,2,80
"WA",77,3,80
"WA",73,1,80
"OH",79,2,60
"CA",56,2,60
"WI",93,1,51
"TX",92,1,50
"TX",83,1,50
"TX",88,1,50
"TX",86,1,50
"IN",83,1,50
"VA",91,1,50
"CA",76,1,50
"TX",84,1,50
"TX",90,1,50
"IN",61,1,50
"VA",62,1,50
"TX",58,1,50
"VA",65,1,50
"CA",80,1,40
"CA",69,1,40
"NY",87,1,40
"NY",88,1,40
"IN",68,1,40
"CA",74,1,40
"CA",85,1,40
"CA",66,1,40
"PA",68,102,3400
"VA",61,62,3100
"NY",61,39,3000
"FL",42,55,3000
"NY",73,85,2700
"NY",57,55,2400
"WA",83,51,2300
"AK",68,36,2300
"OH",69,60,2200
"MD",52,61,2200
"FL",57,73,2100
"WA",64,52,2100
"IL",73,55,2000
"MA",71,54,2000
"CA",71,72,2000
"FL",36,46,2000
"GA",66,47,1900
"IN",63,62,1800
"IL",47,62,1800
